variable_name,label,source,original_document,column
dissimwn,Dissimilarity Index for white-nonwh residential segregation across census tracks,https://www.countyhealthrankings.org/explore-health-rankings/measures-data-sources/county-health-rankings-model/health-factors/social-and-economic-factors/family-social-support/residential-segregation-non-whitewhite,US_county_social_determinants.doc,76.0
smoker_2017,Prop. of smoker in 2017,https://www.countyhealthrankings.org/explore-health-rankings/measures-data-sources/county-health-rankings-model/health-factors/health-behaviors/tobacco-use/adult-smoking,US_county_social_determinants.doc,77.0
hiv_2016,"HIV Prevalence Rate in 2016, # per 100,000 people",https://gis.cdc.gov/grasp/nchhstpatlas/main.html?value=atlas,US_county_social_determinants.doc,78.0
Population density per square miles,Population density per square miles,https://www.bu.edu/sph/2020/04/01/tracking-covid-19-policies/,Prepandemic_v2.csv,79.0
Population 2018 ,Population 2018 ,https://www.bu.edu/sph/2020/04/01/tracking-covid-19-policies/,Prepandemic_v2.csv,80.0
Square Miles,Square Miles,https://www.bu.edu/sph/2020/04/01/tracking-covid-19-policies/,Prepandemic_v2.csv,81.0
Number Homeless (2019),Number Homeless (2019),https://www.bu.edu/sph/2020/04/01/tracking-covid-19-policies/,Prepandemic_v2.csv,82.0
Percent Unemployed (2018),Percent Unemployed (2018),https://www.bu.edu/sph/2020/04/01/tracking-covid-19-policies/,Prepandemic_v2.csv,83.0
Percent living under the federal poverty line (2018),Percent living under the federal poverty line (2018),https://www.bu.edu/sph/2020/04/01/tracking-covid-19-policies/,Prepandemic_v2.csv,84.0
Percent at risk for serious illness due to COVID,Percent at risk for serious illness due to COVID,https://www.bu.edu/sph/2020/04/01/tracking-covid-19-policies/,Prepandemic_v2.csv,85.0
All-cause deaths 2018,All-cause deaths 2018,https://www.bu.edu/sph/2020/04/01/tracking-covid-19-policies/,Prepandemic_v2.csv,86.0
Drinking_Water_Violations,Drinking_Water_Violations,https://www.countyhealthrankings.org/explore-health-rankings/measures-data-sources/county-health-rankings-model/health-factors/physical-environment/air-water-quality/drinking-water-violations,water.csv,87.0
Drinking_Water_Violations_Z-Score,Drinking_Water_Violations_Z-Score,https://www.countyhealthrankings.org/explore-health-rankings/measures-data-sources/county-health-rankings-model/health-factors/physical-environment/air-water-quality/drinking-water-violations,water.csv,88.0
PS-GWPop_x,PS-GWPop_x,https://www.countyhealthrankings.org/explore-health-rankings/measures-data-sources/county-health-rankings-model/health-factors/physical-environment/air-water-quality/drinking-water-violations,water.csv,89.0
PS-SWPop_x,PS-SWPop_x,https://www.countyhealthrankings.org/explore-health-rankings/measures-data-sources/county-health-rankings-model/health-factors/physical-environment/air-water-quality/drinking-water-violations,water.csv,90.0
PS-TOPop_x,PS-TOPop_x,https://www.countyhealthrankings.org/explore-health-rankings/measures-data-sources/county-health-rankings-model/health-factors/physical-environment/air-water-quality/drinking-water-violations,water.csv,91.0
PS-WGWTo,PS-WGWTo,https://www.countyhealthrankings.org/explore-health-rankings/measures-data-sources/county-health-rankings-model/health-factors/physical-environment/air-water-quality/drinking-water-violations,water.csv,92.0
PS-WFrTo,PS-WFrTo,https://www.countyhealthrankings.org/explore-health-rankings/measures-data-sources/county-health-rankings-model/health-factors/physical-environment/air-water-quality/drinking-water-violations,water.csv,93.0
PS-Wtotl_x,PS-Wtotl_x,https://www.countyhealthrankings.org/explore-health-rankings/measures-data-sources/county-health-rankings-model/health-factors/physical-environment/air-water-quality/drinking-water-violations,water.csv,94.0
DO-SSPop_x,DO-SSPop_x,https://www.countyhealthrankings.org/explore-health-rankings/measures-data-sources/county-health-rankings-model/health-factors/physical-environment/air-water-quality/drinking-water-violations,water.csv,95.0
DO-WFrTo_x,DO-WFrTo_x,https://www.countyhealthrankings.org/explore-health-rankings/measures-data-sources/county-health-rankings-model/health-factors/physical-environment/air-water-quality/drinking-water-violations,water.csv,96.0
DO-PSDel_x,DO-PSDel_x,https://www.countyhealthrankings.org/explore-health-rankings/measures-data-sources/county-health-rankings-model/health-factors/physical-environment/air-water-quality/drinking-water-violations,water.csv,97.0
DO-PSPCp_x,DO-PSPCp_x,https://www.countyhealthrankings.org/explore-health-rankings/measures-data-sources/county-health-rankings-model/health-factors/physical-environment/air-water-quality/drinking-water-violations,water.csv,98.0
DO-WDelv _x,DO-WDelv _x,https://www.countyhealthrankings.org/explore-health-rankings/measures-data-sources/county-health-rankings-model/health-factors/physical-environment/air-water-quality/drinking-water-violations,water.csv,99.0
