stfips,stabbr,stname,ctyfips,ctyname,scfips,laborforce_201901,laborforce_201902,laborforce_201903,laborforce_201904,laborforce_201905,laborforce_201906,laborforce_201907,laborforce_201908,laborforce_201909,laborforce_201910,laborforce_201911,laborforce_201912,laborforce_202001,laborforce_202002,laborforce_202003,laborforce_202004,laborforce_202005,laborforce_202006,laborforce_202007,laborforce_202008,laborforce_202009,laborforce_202010,laborforce_202011,laborforce_202012,laborforce_202101,laborforce_202102,laborforce_202103,laborforce_202104,laborforce_202105,laborforce_202106,laborforce_202107,laborforce_202108,laborforce_202109,laborforce_202110,laborforce_202111,laborforce_202112,neighbor01_2017,neighbor02_2017,neighbor03_2017,neighbor04_2017,neighbor05_2017,neighbor06_2017,neighbor07_2017,neighbor08_2017,neighbor09_2017,neighbor10_2017,neighbor11_2017,neighbor12_2017,neighbor13_2017,unemployment_201901,unemployment_201902,unemployment_201903,unemployment_201904,unemployment_201905,unemployment_201906,unemployment_201907,unemployment_201908,unemployment_201909,unemployment_201910,unemployment_201911,unemployment_201912,unemployment_202001,unemployment_202002,unemployment_202003,unemployment_202004,unemployment_202005,unemployment_202006,unemployment_202007,unemployment_202008,unemployment_202009,unemployment_202010,unemployment_202011,unemployment_202012,unemployment_202101,unemployment_202102,unemployment_202103,unemployment_202104,unemployment_202105,unemployment_202106,unemployment_202107,unemployment_202108,unemployment_202109,unemployment_202110,unemployment_202111,unemployment_202112
1,AL,Alabama,21,Chilton County,1021,19476,19832,19813,19715,19603,19808,19978,19786,19885,19946,19898,19958,19591,19691,19588,19115,19511,19607,19579,19503,19318,19824,19913.0,19762.0,19611.0,19623.0,19447.0,19532.0,19465.0,19556.0,19913.0,19771.0,19701.0,19876.0,20145.0,20032.0,1117.0,1007.0,1047.0,1105.0,1051.0,1001.0,1037.0,,,,,,,4.0,3.5,3.1,2.4,2.2,2.9,2.8,2.7,2.3,2.3,2.3,2.3,2.9,2.4,2.4,11.6,7.3,6.7,6.5,5.9,5.4,3.3,2.9,2.7,3.2,2.9,2.8,2.4,2.4,3.1,2.8,2.9,2.4,2.2,2.5,2.3
1,AL,Alabama,23,Choctaw County,1023,4757,4911,4905,4774,4589,4607,4559,4486,4547,4567,4525,4603,4511,4532,4497,4551,4659,4719,4652,4588,4599,4683,4758.0,4753.0,4618.0,4635.0,4663.0,4657.0,4556.0,4621.0,4658.0,4643.0,4633.0,4748.0,4781.0,4811.0,1091.0,1119.0,28023.0,28153.0,1025.0,1129.0,28075.0,,,,,,,6.3,5.6,4.8,3.9,3.7,5.1,5.2,4.7,4.4,4.3,4.0,4.3,5.4,4.9,4.6,11.0,7.6,9.4,8.7,7.9,7.6,4.6,4.3,4.3,4.9,4.6,4.3,3.6,3.6,4.5,4.2,4.1,3.8,3.2,3.6,3.4
1,AL,Alabama,25,Clarke County,1025,7563,7720,7640,7564,7544,7661,7547,7485,7456,7456,7409,7496,7406,7389,7591,7732,7849,7912,7765,7721,7922,7827,7887.0,7776.0,7702.0,7723.0,7677.0,7711.0,7560.0,7530.0,7532.0,7513.0,7578.0,7681.0,7719.0,7680.0,1091.0,1131.0,1099.0,1003.0,1023.0,1129.0,,,,,,,,7.9,7.4,6.0,4.7,4.5,6.1,6.5,6.2,5.3,4.9,4.7,5.4,6.2,5.6,5.4,13.6,9.6,11.2,13.0,12.9,11.8,6.9,6.3,6.1,6.7,6.4,6.1,5.0,5.0,6.3,6.0,6.1,5.4,4.9,5.2,5.2
1,AL,Alabama,27,Clay County,1027,5964,6128,6112,6070,6019,6075,6097,6094,6154,6147,6110,6105,6065,6086,6123,5953,5989,6035,6028,5996,5984,6204,6283.0,6154.0,6113.0,6150.0,6097.0,5961.0,5872.0,5905.0,6022.0,5999.0,6048.0,6207.0,6183.0,6124.0,1037.0,1121.0,1029.0,1123.0,1111.0,,,,,,,,,4.5,3.9,3.4,2.6,2.5,3.3,3.3,2.9,2.4,2.4,2.4,2.7,3.3,2.7,2.6,8.5,4.5,4.7,4.8,4.6,4.6,3.0,2.9,2.7,3.1,2.8,2.7,2.4,2.3,3.1,2.6,2.8,2.3,2.0,2.2,2.0
1,AL,Alabama,29,Cleburne County,1029,5669,5850,5818,5783,5757,5823,5860,5777,5811,5792,5757,5821,5682,5716,5752,5673,5720,5828,5716,5651,5600,5762,5802.0,5780.0,5639.0,5615.0,5577.0,5653.0,5607.0,5736.0,5888.0,5825.0,5725.0,5814.0,5838.0,5843.0,1027.0,13233.0,1019.0,13045.0,13143.0,1121.0,1015.0,1111.0,,,,,,5.2,4.2,3.8,3.0,2.6,3.3,3.0,2.9,2.5,2.5,2.5,2.7,3.4,2.9,3.0,11.7,6.0,6.0,5.4,4.7,4.4,2.9,2.6,2.3,2.7,2.5,2.6,2.2,2.2,2.8,2.4,2.6,2.3,1.9,2.4,2.1
1,AL,Alabama,31,Coffee County,1031,20498,21597,21534,21451,21433,21625,21455,21369,21386,21263,21161,21198,21004,21190,21555,20741,21397,21781,21347,21459,21134,21692,22072.0,21626.0,21357.0,21557.0,21228.0,21114.0,20851.0,20843.0,21128.0,21228.0,21427.0,21806.0,21930.0,21704.0,1109.0,1061.0,1045.0,1041.0,1039.0,,,,,,,,,4.6,3.8,3.4,2.6,2.4,3.1,2.8,2.8,2.5,2.5,2.4,2.4,3.1,2.6,2.6,8.7,5.5,6.0,5.7,5.3,5.1,3.1,2.8,2.6,2.9,2.6,2.7,2.3,2.3,3.2,2.8,3.0,2.5,2.2,2.5,2.3
1,AL,Alabama,33,Colbert County,1033,23062,23715,23709,23684,23572,23550,23692,23564,23668,23759,23719,23527,23275,23541,23567,23422,23282,23575,23541,23620,23394,23991,23879.0,23492.0,23284.0,23475.0,23292.0,23420.0,23066.0,22865.0,22944.0,22986.0,23304.0,23299.0,23750.0,23475.0,1077.0,1079.0,1059.0,28141.0,,,,,,,,,,5.4,5.0,4.2,3.2,3.1,4.1,4.1,3.7,3.2,3.0,3.0,3.3,4.2,3.7,3.3,15.8,9.1,8.7,8.4,7.7,7.0,4.3,3.8,3.5,4.1,3.9,3.9,3.4,3.4,4.4,4.2,4.0,3.4,3.2,3.4,3.3
1,AL,Alabama,35,Conecuh County,1035,4407,4553,4544,4543,4501,4562,4622,4556,4548,4510,4462,4483,4440,4469,4436,4410,4579,4647,4626,4579,4529,4569,4592.0,4501.0,4443.0,4464.0,4420.0,4421.0,4384.0,4358.0,4426.0,4394.0,4285.0,4362.0,4342.0,4293.0,1013.0,1099.0,1053.0,1039.0,,,,,,,,,,5.6,5.1,4.6,3.7,3.1,4.2,4.0,3.9,3.5,3.5,3.3,3.4,4.3,3.8,3.5,14.1,7.9,9.2,10.1,9.6,9.2,6.1,5.1,4.8,5.2,5.0,4.7,4.2,4.1,5.1,5.0,4.9,4.2,4.0,4.1,3.8
1,AL,Alabama,37,Coosa County,1037,4312,4527,4554,4532,4543,4598,4589,4576,4562,4544,4516,4525,4452,4469,4423,4252,4339,4406,4367,4380,4315,4466,4478.0,4384.0,4336.0,4354.0,4342.0,4147.0,4187.0,4207.0,4260.0,4271.0,4355.0,4440.0,4430.0,4378.0,1027.0,1121.0,1117.0,1123.0,1051.0,1021.0,,,,,,,,4.6,3.8,3.5,2.7,2.4,3.3,3.2,3.0,2.5,2.4,2.3,2.4,3.5,2.9,2.8,12.8,7.3,7.1,6.7,6.4,6.1,4.1,3.7,3.2,3.6,3.2,3.0,2.7,2.6,3.2,3.0,3.2,2.7,2.3,2.7,2.2
1,AL,Alabama,39,Covington County,1039,15378,15706,15731,15668,15522,15705,15778,15594,15799,15659,15528,15532,15313,15489,15081,14565,14986,15362,15017,15030,15153,15507,15709.0,15337.0,15082.0,15146.0,14814.0,14847.0,14640.0,14928.0,15077.0,15009.0,15143.0,15416.0,15365.0,15136.0,12131.0,1013.0,1053.0,1061.0,12091.0,1041.0,1035.0,1031.0,,,,,,5.1,4.4,3.9,3.3,2.7,3.6,3.4,3.5,2.8,2.7,2.7,3.0,3.6,3.2,3.1,10.0,6.0,6.5,6.4,5.6,5.2,3.3,3.0,2.9,3.3,3.1,3.1,2.5,2.5,3.2,3.0,3.0,2.7,2.3,2.6,2.3
1,AL,Alabama,41,Crenshaw County,1041,6134,6525,6490,6528,6492,6524,6597,6399,6597,6482,6388,6350,6257,6410,6269,5791,5954,6417,6401,6274,6236,6409,6481.0,6246.0,6077.0,6154.0,6103.0,5954.0,5940.0,6039.0,6164.0,6122.0,6133.0,6331.0,6268.0,6144.0,1013.0,1085.0,1109.0,1101.0,1031.0,1039.0,,,,,,,,4.6,3.9,3.5,2.5,2.1,2.8,3.0,2.7,2.2,2.2,2.3,2.3,3.5,2.9,2.8,16.4,7.3,7.0,7.2,6.4,5.9,3.7,3.3,3.3,3.7,3.4,3.4,2.7,2.7,3.4,3.1,3.2,2.9,2.5,2.8,2.7
1,AL,Alabama,43,Cullman County,1043,37138,38678,38907,38613,38507,38692,38527,38204,38902,38849,38779,38760,38433,38597,38495,36942,37446,38240,37806,37916,38035,39172,39743.0,38986.0,38555.0,38835.0,38678.0,37576.0,37245.0,37526.0,38025.0,37942.0,38492.0,39116.0,39391.0,38942.0,1095.0,1009.0,1133.0,1079.0,1103.0,1127.0,,,,,,,,3.7,3.2,3.1,2.3,2.2,2.9,2.6,2.6,2.2,2.2,2.1,2.1,2.8,2.5,2.4,11.4,6.4,5.6,5.1,4.7,4.3,2.6,2.4,2.1,2.5,2.2,2.3,2.1,2.1,2.6,2.3,2.4,2.0,1.7,2.1,1.8
1,AL,Alabama,45,Dale County,1045,20073,20833,20827,20630,20687,20783,20775,20705,20774,20771,20668,20648,20496,20567,20450,20105,20651,20810,20841,20795,20628,21117,21258.0,20947.0,20768.0,20845.0,20625.0,20825.0,20501.0,20457.0,20750.0,20736.0,20777.0,21014.0,21107.0,20952.0,1109.0,1005.0,1061.0,1069.0,1031.0,1067.0,,,,,,,,4.8,4.1,3.7,2.8,2.6,3.4,3.1,2.9,2.6,2.5,2.5,2.5,3.2,2.7,2.7,8.7,5.8,6.5,6.5,6.3,6.0,3.7,3.4,3.3,3.7,3.4,3.2,2.6,2.6,3.3,3.0,3.2,2.8,2.5,2.8,2.6
1,AL,Alabama,47,Dallas County,1047,14854,14996,14893,14779,14564,14541,14934,14533,14742,14628,14524,14546,14490,14600,14350,14774,14608,14905,14784,14837,14674,14667,14733.0,14377.0,14298.0,14333.0,13842.0,13504.0,13323.0,13392.0,13623.0,13580.0,13857.0,14123.0,14084.0,13949.0,1091.0,1105.0,1131.0,1085.0,1001.0,1021.0,,,,,,,,7.7,7.1,5.8,4.6,4.4,6.1,6.4,5.8,5.2,4.4,4.2,4.3,5.5,5.1,4.8,20.6,12.8,13.6,14.9,13.9,13.3,8.9,7.7,7.4,8.6,8.1,6.9,6.1,6.0,7.5,8.0,7.7,7.1,6.7,6.8,6.7
1,AL,Alabama,49,DeKalb County,1049,29643,30855,31078,31021,30909,31358,31758,30999,31301,31115,30847,30958,30600,30960,30848,30210,30454,31167,30472,30081,30177,31095,31495.0,30864.0,30394.0,30698.0,30720.0,31123.0,30597.0,30538.0,31170.0,30705.0,30881.0,31674.0,31569.0,31204.0,1019.0,1095.0,1071.0,13295.0,13055.0,13083.0,1055.0,,,,,,,4.3,3.7,3.4,2.5,2.3,3.0,2.8,2.7,2.3,2.3,2.2,2.3,3.2,2.7,2.6,11.0,6.0,5.7,5.6,5.1,4.7,2.9,2.7,2.5,2.8,2.5,2.5,2.0,2.0,2.7,2.4,2.5,2.2,2.2,2.2,2.0
1,AL,Alabama,51,Elmore County,1051,37068,37654,37670,37567,37733,37763,37641,37408,37250,37549,37508,37543,37258,37151,36987,35468,36429,36502,36638,36560,36164,37087,37039.0,36584.0,36499.0,36266.0,36089.0,36513.0,36384.0,36067.0,36379.0,36144.0,35857.0,35819.0,36358.0,36254.0,1037.0,1001.0,1087.0,1123.0,1101.0,1021.0,,,,,,,,3.8,3.2,3.0,2.3,2.1,2.8,2.6,2.6,2.3,2.3,2.2,2.3,3.0,2.6,2.4,10.7,6.2,6.6,6.5,5.8,5.5,3.5,3.1,2.8,3.2,3.0,2.8,2.4,2.3,3.0,2.6,2.8,2.4,2.2,2.5,2.2
1,AL,Alabama,53,Escambia County,1053,14098,14671,14846,14746,14653,14767,14852,14766,14819,14886,14802,14787,14629,14679,14467,14171,14448,14779,14420,14392,14274,14585,14670.0,14353.0,14284.0,14373.0,14092.0,14078.0,13840.0,13785.0,13839.0,13804.0,13922.0,14111.0,14110.0,13931.0,1099.0,1003.0,12033.0,12091.0,1035.0,12113.0,1039.0,,,,,,,5.0,4.4,3.8,3.1,2.9,3.8,3.6,3.5,3.1,3.0,2.9,3.1,3.8,3.4,3.3,10.7,6.8,8.0,8.2,7.8,7.3,4.7,4.1,3.9,4.7,4.4,4.1,3.6,3.6,4.3,4.0,4.2,3.5,3.1,3.2,3.1
1,AL,Alabama,55,Etowah County,1055,43342,42937,43087,42464,42724,42958,42549,42344,42423,42766,42785,42804,42809,42803,41527,40856,39509,40447,40587,40569,40096,40730,40603.0,40335.0,39751.0,39617.0,39268.0,39617.0,39715.0,39338.0,39478.0,39191.0,39008.0,38946.0,39626.0,39347.0,1115.0,1009.0,1095.0,1015.0,1019.0,1049.0,,,,,,,,4.5,4.2,3.8,2.9,2.7,3.7,3.5,3.3,2.9,3.0,2.7,2.8,4.2,3.9,3.8,19.2,10.5,9.9,9.9,9.1,8.3,5.3,4.5,4.0,4.6,4.3,4.0,3.4,3.4,4.3,4.0,4.0,3.6,3.2,3.5,3.3
1,AL,Alabama,57,Fayette County,1057,6346,6606,6588,6568,6575,6626,6542,6553,6619,6582,6570,6551,6517,6539,6551,6449,6626,6465,6508,6482,6476,6652,6717.0,6584.0,6539.0,6600.0,6483.0,6552.0,6437.0,6490.0,6505.0,6514.0,6652.0,6680.0,6759.0,6673.0,1125.0,1093.0,1107.0,1075.0,1127.0,,,,,,,,,4.6,3.8,3.5,2.8,2.6,3.5,3.3,3.2,2.8,2.6,2.6,2.6,3.5,2.9,2.7,10.3,7.0,7.2,6.2,5.6,5.1,3.7,3.2,2.9,3.3,3.1,3.1,2.5,2.5,3.3,2.9,3.1,2.7,2.4,2.8,2.5
1,AL,Alabama,59,Franklin County,1059,14161,14651,14646,14628,14645,14746,14743,14749,14759,14776,14752,14712,14531,14744,14537,14311,14215,14275,14272,14203,14196,14616,14810.0,14513.0,14325.0,14452.0,14432.0,14645.0,14344.0,14112.0,14222.0,14193.0,14079.0,14215.0,14343.0,14197.0,1033.0,1093.0,1133.0,1079.0,28141.0,28057.0,,,,,,,,4.1,3.6,3.2,2.4,2.3,3.0,2.8,2.6,2.3,2.4,2.2,2.4,3.1,3.5,2.6,10.6,5.5,5.9,5.6,4.9,4.4,2.7,2.5,2.2,2.6,2.3,2.4,2.1,2.0,2.7,2.7,2.6,2.3,1.9,2.2,2.1
1,AL,Alabama,61,Geneva County,1061,10721,11038,11080,10991,10930,11096,11266,11041,11203,11095,10979,10983,10869,11021,10791,10171,10631,11005,10970,10798,10776,11085,11064.0,10996.0,10762.0,10761.0,10635.0,10738.0,10649.0,10812.0,11134.0,11033.0,10961.0,11059.0,11090.0,11120.0,12131.0,1045.0,1069.0,12059.0,12063.0,1031.0,1039.0,,,,,,,4.6,3.8,3.4,2.6,2.4,3.1,2.7,2.9,2.4,2.5,2.3,2.4,3.2,2.7,2.7,7.6,4.9,5.5,5.4,4.8,4.5,2.9,2.7,2.6,2.9,2.8,2.8,2.4,2.3,3.0,2.7,2.9,2.4,2.0,2.5,2.3
1,AL,Alabama,63,Greene County,1063,2784,2880,2854,2893,2885,2913,2929,2886,2886,2880,2866,2864,2848,2870,2965,3100,3049,3076,3035,3044,3010,2987,2999.0,2940.0,2947.0,2949.0,2838.0,2840.0,2809.0,2792.0,2812.0,2816.0,2851.0,2867.0,2887.0,2859.0,1091.0,1065.0,1125.0,1119.0,1107.0,,,,,,,,,7.1,6.4,5.4,5.0,4.9,6.4,7.0,6.0,4.9,4.9,4.6,4.8,5.9,5.5,4.9,21.0,13.6,14.0,14.5,14.2,13.4,8.8,7.7,7.3,8.4,7.7,7.2,6.0,5.7,7.3,7.1,6.7,6.1,5.9,6.0,5.8
1,AL,Alabama,65,Hale County,1065,5972,6140,6091,6112,5972,6081,6186,6097,6312,6234,6141,6111,6055,6225,6021,5967,5842,6123,6138,6121,6185,6190,6140.0,6007.0,5938.0,5948.0,5733.0,5725.0,5649.0,5767.0,5895.0,5887.0,5908.0,5972.0,5997.0,5930.0,1091.0,1105.0,1063.0,1125.0,1007.0,,,,,,,,,5.5,4.7,4.2,3.4,3.3,4.7,4.6,3.9,3.4,3.4,3.1,3.3,4.3,4.0,4.0,21.1,12.4,12.2,12.2,11.8,11.2,7.7,6.4,6.1,7.2,6.7,5.5,4.5,4.9,6.3,6.0,5.7,4.8,4.5,4.9,4.7
1,AL,Alabama,67,Henry County,1067,6745,6964,6982,6907,6907,6989,7047,6933,6957,6952,6915,6915,6878,6896,6808,6460,6765,6887,6840,6802,6762,6943,6912.0,6894.0,6815.0,6786.0,6740.0,6808.0,6787.0,6805.0,6971.0,6922.0,6857.0,6878.0,6931.0,6952.0,1005.0,13061.0,1069.0,1045.0,13099.0,,,,,,,,,5.2,4.8,4.2,3.2,3.0,3.8,3.6,3.5,2.9,2.9,2.8,2.9,3.8,3.2,3.2,8.7,6.0,6.3,5.7,5.7,5.5,3.5,3.4,3.1,3.7,3.3,3.2,2.7,2.8,3.3,3.0,3.2,2.7,2.4,2.7,2.5
1,AL,Alabama,69,Houston County,1069,45110,46352,46447,45955,45999,46396,46538,46080,46108,46326,46336,46329,46058,45901,45977,44714,46245,46797,46791,46523,46147,47132,46806.0,46762.0,46442.0,46284.0,45980.0,46487.0,46209.0,46217.0,47058.0,46781.0,46389.0,46186.0,46850.0,47082.0,13099.0,1061.0,1045.0,12063.0,13253.0,1067.0,,,,,,,,4.5,3.9,3.5,2.7,2.5,3.3,3.1,3.0,2.5,2.5,2.4,2.5,3.2,2.8,2.7,10.2,6.6,7.3,7.2,7.0,6.6,4.2,3.8,3.4,4.0,3.7,3.4,2.9,2.8,3.7,3.3,3.4,2.9,2.6,2.9,2.6
1,AL,Alabama,71,Jackson County,1071,23074,23668,23817,23625,23583,23717,23515,23340,23340,23308,23221,23229,23006,23191,22954,22352,22374,22838,22727,22670,22676,23222,23447.0,23030.0,22705.0,22820.0,22664.0,22532.0,22247.0,22260.0,22463.0,22401.0,22829.0,23108.0,23197.0,22974.0,1049.0,47115.0,1095.0,1089.0,47051.0,13083.0,,,,,,,,4.8,4.0,3.9,2.9,2.7,3.5,3.4,3.2,2.8,2.8,2.7,2.9,3.7,3.3,3.1,12.8,7.2,7.2,6.4,5.8,5.3,3.2,3.0,2.8,3.1,3.0,2.8,2.3,2.4,3.1,2.7,2.9,2.5,2.2,2.5,2.4
1,AL,Alabama,73,Jefferson County,1073,316100,319084,318826,317025,316624,318920,319233,318116,316826,320306,320792,321910,317192,316161,313814,307556,314574,316574,318163,318180,314095,320097,319935.0,318167.0,318213.0,317827.0,314987.0,316576.0,315671.0,315065.0,319109.0,317372.0,315551.0,316326.0,322089.0,320746.0,1125.0,1009.0,1115.0,1117.0,1127.0,1007.0,,,,,,,,4.1,3.6,3.3,2.5,2.4,3.1,3.0,2.9,2.5,2.4,2.3,2.3,3.0,2.7,2.6,12.2,7.9,8.6,8.8,8.3,7.8,5.0,4.3,3.9,4.5,4.2,3.6,3.1,3.0,3.9,3.6,3.6,3.1,2.9,3.1,2.9
